net,length_um
net53,171.1µm
net51,168.18µm
net58,166.1µm
net52,153.42µm
net54,149.86µm
net63,149.46µm
net50,148.32µm
net57,146.04µm
net64,145.24µm
net70,142.66µm
net60,142.06µm
net61,141.75µm
_061_,140.72µm
net67,140.31µm
net62,140.06µm
net65,138.09µm
net66,137.79µm
net68,136.87µm
net69,136.58µm
net99,136.37µm
net71,134.36µm
net55,134.055µm
net56,132.52µm
net59,131.27µm
net98,127.74µm
net96,125.57µm
counter\[0\],121.27µm
net94,110.68µm
net23,109.02µm
net3,108.27µm
net37,106.22µm
net95,104.6µm
net108,103.34µm
net2,103.09µm
net103,101.06µm
counter\[2\],99.8µm
net33,96.68µm
net104,93.78µm
counter\[1\],92.4µm
net101,92.19µm
net105,89.94µm
net100,86.13µm
counter\[4\],85.165µm
net106,85.16µm
counter\[7\],82.14µm
counter\[11\],77.56µm
result\[11\],76.38µm
counter\[8\],72.685µm
counter\[6\],70.76µm
result\[10\],70.41µm
result\[8\],68.5µm
result\[9\],68.28µm
_054_,67.06µm
state\[1\],66.17µm
counter\[10\],63.86µm
net5,61.82µm
result\[7\],59.15µm
result\[6\],53.25µm
_033_,52.79µm
net6,52.59µm
counter\[9\],52.28µm
counter\[3\],52µm
net7,51.58µm
_063_,50.32µm
net25,49.55µm
_039_,47.8µm
net8,46.5µm
net4,45.15µm
_031_,44.76µm
net107,42.89µm
state\[0\],38.55µm
_052_,37.68µm
result\[2\],36.42µm
net97,35.24µm
net21,34.18µm
net102,33.71µm
counter\[5\],33.44µm
_025_,27.855µm
net32,26.64µm
result\[5\],26.4µm
net18,24.42µm
result\[1\],23.38µm
_026_,22.76µm
net11,22.14µm
net16,21.58µm
_062_,21.38µm
_053_,20.64µm
net14,20.12µm
result\[3\],20µm
net20,19.36µm
net13,19.18µm
net1,18.94µm
vcm_o_i[5],18.8µm
_076_,18.7µm
vss_n_o[0],18.59µm
vcm_o_i[1],18.12µm
result\[4\],18µm
_043_,17.74µm
_005_,16.6µm
net34,16.52µm
net24,16.08µm
net36,15.98µm
vss_n_o[2],15.87µm
en_vcm_sw_o_i,15.82µm
vin_p_sw_on,15.61µm
vcm_o[10],15.58µm
_081_,15.44µm
vss_p_o[0],15.39µm
data[3],15.12µm
rst_z,14.88µm
vin_n_sw_on,14.47µm
_068_,14.22µm
offset_cal_cycle,14.2µm
net22,14.1µm
debug_mux[1],14.08µm
debug_out,14.08µm
_056_,13.84µm
vcm_o_i[0],13.74µm
net17,13.74µm
en_offset_cal_o,13.64µm
sample_o,13.64µm
debug_mux[3],13.5µm
result\[0\],13.5µm
net19,13.36µm
comp_p,13.06µm
vcm_o_i[6],13.06µm
clk,13.04µm
debug_mux[2],13.04µm
net15,13µm
_030_,12.98µm
data[1],12.7µm
debug_mux[0],12.7µm
data[2],12.36µm
data[4],12.36µm
data[5],12.36µm
vss_n_o[1],12.21µm
vref_z_p_o[7],12.19µm
vss_n_o[10],12.19µm
vss_p_o[1],12.19µm
comp_n,12.14µm
en_offset_cal,12.12µm
start,12.12µm
en_comp,11.92µm
counter_sample,11.85µm
clk_data,11.78µm
data[0],11.78µm
vref_z_n_o[3],11.73µm
vref_z_n_o[5],11.73µm
vss_n_o[6],11.73µm
vcm_o_i[2],11.68µm
vcm_o_i[3],11.68µm
vcm_o_i[7],11.68µm
vcm_o_i[8],11.68µm
vcm_o_i[9],11.68µm
net35,11.68µm
_079_,11.54µm
vcm_o[1],11.46µm
vref_z_p_o[5],11.27µm
vss_p_o[2],11.27µm
vcm_o_i[10],11.22µm
net12,11.16µm
_000_,11.08µm
en_vcm_sw_o,11µm
vcm_dummy_o,11µm
vcm_o[2],11µm
vcm_o[3],11µm
vcm_o[5],11µm
vcm_o[6],11µm
vcm_o[7],11µm
vcm_o[8],11µm
vcm_o[9],11µm
_075_,10.9µm
vcm_o_i[4],10.76µm
vref_z_n_o[9],10.71µm
vcm_o[4],10.54µm
vss_n_o[3],10.37µm
vref_z_p_o[9],10.11µm
vcm_o[0],10.08µm
_018_,10.02µm
_055_,9.74µm
net81,9.7µm
vref_z_p_o[10],9.67µm
vref_z_n_o[7],9.55µm
_040_,9.5µm
net77,9.36µm
net92,9.24µm
_024_,9.02µm
_049_,8.84µm
vref_z_p_o[4],8.75µm
vref_z_n_o[2],8.53µm
vss_n_o[5],8.53µm
vss_n_o[9],8.53µm
net80,8.2µm
_010_,8.18µm
net91,8.1µm
vref_z_p_o[0],8.07µm
vref_z_p_o[2],8.07µm
vss_p_o[3],8.07µm
vss_p_o[5],8.07µm
vss_p_o[7],8.07µm
vss_p_o[9],8.07µm
_083_,7.94µm
_082_,7.88µm
_028_,7.74µm
_059_,7.6µm
net90,7.56µm
vref_z_n_o[0],7.37µm
vref_z_n_o[10],7.37µm
vref_z_n_o[4],7.37µm
vref_z_n_o[6],7.37µm
vref_z_n_o[8],7.37µm
vss_n_o[7],7.37µm
vss_n_o[8],7.37µm
net88,7.18µm
net87,7.06µm
net89,7.06µm
vref_z_n_o[1],7.03µm
vss_n_o[4],7.03µm
vref_z_p_o[6],6.91µm
vref_z_p_o[8],6.91µm
vss_p_o[8],6.91µm
_047_,6.72µm
_058_,6.72µm
_015_,6.7µm
_027_,6.64µm
_046_,6.6µm
vref_z_p_o[1],6.57µm
vss_p_o[4],6.57µm
net45,6.5µm
_045_,6.32µm
vref_z_p_o[3],6.23µm
vss_p_o[10],6.23µm
vss_p_o[6],6.23µm
_077_,6.16µm
_029_,6.08µm
_072_,6.06µm
_007_,5.965µm
_019_,5.965µm
_035_,5.9µm
_037_,5.8µm
_014_,5.46µm
_020_,5.46µm
_074_,5.4µm
net72,5.4µm
_036_,5.38µm
_022_,5.34µm
_044_,5.34µm
_065_,5.34µm
net29,5.26µm
net84,4.8µm
net74,4.76µm
_042_,4.66µm
_002_,4.58µm
_003_,4.58µm
net39,4.48µm
_070_,4.42µm
_051_,4.34µm
net44,4.1µm
net40,4.02µm
_009_,4µm
net26,3.88µm
_086_,3.66µm
_011_,3.64µm
_032_,3.54µm
_060_,3.42µm
_085_,3.3µm
_071_,3.22µm
_017_,3.2µm
_073_,3.08µm
net78,2.96µm
_067_,2.76µm
_069_,2.76µm
_080_,2.76µm
_021_,2.64µm
net79,2.64µm
net82,2.64µm
net76,2.62µm
net86,2.62µm
_041_,2.5µm
net28,2.5µm
net30,2.5µm
net38,2.5µm
net43,2.5µm
net83,2.5µm
_078_,2.4µm
_006_,2.18µm
_008_,2.16µm
_012_,2.16µm
_023_,2.16µm
_057_,2.16µm
net9,2.04µm
net41,2.04µm
net48,2.04µm
net85,2.04µm
_084_,1.94µm
_016_,1.84µm
net31,1.84µm
_004_,1.82µm
net46,1.75µm
net73,1.72µm
_001_,1.7µm
_038_,1.7µm
_048_,1.7µm
net75,1.7µm
net42,1.6µm
_013_,1.545µm
_050_,1.38µm
net27,1.38µm
_064_,1.26µm
_066_,1.26µm
net10,1.26µm
net47,1.26µm
net49,1.26µm
_034_,1.02µm
net93,0.92µm
